,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Chicken Marsala,https://www.myrecipes.com/recipe/chicken-marsala-9,"['4   (6-ounce) skinless, boneless chicken breast halves', '¼  teaspoon salt', '¼  teaspoon freshly ground black pepper', '2  tablespoons all-purpose flour', '1  tablespoon olive oil', '1  cup presliced mushrooms', '½  cup Marsala wine', '½  cup fat-free, less-sodium chicken broth', '2  tablespoons fresh lemon juice', '1  tablespoon chopped fresh parsley']",{'Yield': '4 servings (serving size: 1 chicken breast and about 2 1/2 tablespoons sauce)'},"{'Step 2': 'Heat olive oil in a large skillet over medium-high heat. Add chicken; cook 3 minutes on each side or until browned. Remove chicken from pan; keep warm. Add mushrooms, wine, broth, and juice to pan; reduce heat, and simmer 10 minutes or until mixture is reduced to 2/3 cup. Return chicken to pan, turning to coat well. Cover and cook 5 minutes or until chicken is done. Sprinkle with parsley.'}","['241 calories', ' calories from fat 21%', ' fat 56g', ' saturated fat 1g', ' mono fat 3g', ' poly fat 09g', ' protein 407g', ' carbohydrates 49g', ' fiber 05g', ' cholesterol 99mg', ' iron 18mg', ' sodium 308mg', ' calcium 26mg']"
Moroccan Chicken Thighs,https://www.myrecipes.com/recipe/moroccan-chicken-thighs,"['½  teaspoon olive oil', '2  pounds skinless, boneless chicken thighs', '2  cups thinly sliced yellow onion', '1  tablespoon minced peeled fresh ginger', '1  teaspoon ground cumin', '½  teaspoon salt', '½  teaspoon ground coriander', '½  teaspoon ground cinnamon', '½  teaspoon freshly ground black pepper', '4   garlic cloves, minced', '1\u2009½  cups fat-free, less-sodium chicken broth', '1   (15 1/2-ounce) can chickpeas (garbanzo beans), rinsed and drained', '1   (7-ounce) package dried apricots (about 1 1/3 cups), halved']",{'Yield': '8 servings (serving size: about 3/4 cup)'},"{'Step 3': 'Remove chicken from pan with a slotted spoon; cool slightly. Cut chicken into bite-sized pieces. Add chicken, chickpeas, and apricots to pan. Cover and simmer 10 minutes or until thoroughly heated.'}","['301 calories', ' calories from fat 29%', ' fat 97g', ' saturated fat 25g', ' mono fat 38g', ' poly fat 22g', ' protein 245g', ' carbohydrates 282g', ' fiber 52g', ' cholesterol 76mg', ' iron 27mg', ' sodium 397mg', ' calcium 53mg']"
Mexican Chicken Mole,https://www.myrecipes.com/recipe/mexican-chicken-mole,"['¾  cup chopped green bell pepper', '½  cup chopped onion', '1  tablespoon vegetable oil', '1   garlic clove, minced', '1  tablespoon sugar', '3  tablespoons unsweetened cocoa', '1  tablespoon chili powder', '1  teaspoon ground cumin', '½  teaspoon salt', '1   (14.5-ounce) can no-salt-added whole tomatoes, undrained and chopped', '1   (4.5-ounce) can chopped green chiles, drained', '3   (4-ounce) skinned, boned chicken thighs', '3   (4-ounce) skinned, boned chicken breast halves', '¼  teaspoon salt', '1  tablespoon water', '2  teaspoons cornstarch', '6  cups hot cooked rice', 'Cilantro sprigs (optional)']","{'Yield': '6 servings (serving size: 1 piece chicken, 1/2 cup sauce, and 1 cup rice)'}","{'Step 2': 'Combine water and cornstarch, stirring until blended; add to tomato mixture. Microwave, uncovered, at HIGH 5 minutes, stirring after 2 1/2 minutes. Serve the chicken and tomato mixture over rice. Garnish with cilantro sprigs, if desired.'}","['409 calories', ' calories from fat 15%', ' fat 67g', ' saturated fat 16g', ' mono fat 18g', ' poly fat 22g', ' protein 305g', ' carbohydrates 548g', ' fiber 21g', ' cholesterol 78mg', ' iron 45mg', ' sodium 428mg', ' calcium 88mg']"
Dixie Fried Chicken,https://www.myrecipes.com/recipe/dixie-fried-chicken,"['2\u2009½   to 3 pounds broiler-fryer, cut up, or 2 1/2 pounds assorted chicken pieces', '½  teaspoon salt', '½  teaspoon freshly ground black pepper', '1\u2009½  cups all-purpose flour', '1  teaspoon ground red pepper', '1   egg, lightly beaten', '⅓  cup milk', 'Vegtable oil', 'Creamy gravy:', '¼  cup reserved pan drippings', '¼  cup all-purpose flour', '2\u2009½   to 3 cups hot milk', '½  teaspoon salt', '¼  teaspoon freshly ground black pepper', 'Dash of ground red pepper']",{'Yield': '2 3/4 cups'},"{'Step 3': 'Cream gravy:Heat pan drippings in skillet over medium heat. Add flour, stirring until browned. Gradually add hot milk; cook, stirring constantly until thick and bubbly. Add salt, black pepper and red pepper. Serve hot.'}",
Chicken with Black Bean Salsa,https://www.myrecipes.com/recipe/chicken-with-black-bean-salsa,"['Salsa:', '½  cup canned black beans, rinsed and drained', '¼  cup fresh corn kernels', '1  tablespoon chopped red onion', '1  teaspoon chopped seeded jalapeño pepper', '1  teaspoon fresh lime juice', '1  teaspoon extravirgin olive oil', '⅛  teaspoon salt', '⅛  teaspoon ground coriander', '4   grape or cherry tomatoes, quartered', 'Chicken:', '1  teaspoon butter', 'Cooking spray', '1   (6-ounce) skinless, boneless chicken breast half', 'Dash of salt', 'Dash of freshly ground black pepper', 'Lime slice (optional)']",{'Yield': '1 serving (serving size: 1 chicken breast half and 3/4 cup salsa)'},"{'Step 2': 'To prepare chicken, heat butter in a small nonstick skillet coated with cooking spray over medium-high heat. Sprinkle chicken with dash of salt and black pepper. Add chicken to pan; cook 6 minutes on each side or until done. Serve with salsa and lime slice, if desired.'}","['425 calories', ' calories from fat 26%', ' fat 122g', ' saturated fat 37g', ' mono fat 51g', ' poly fat 23g', ' protein 484g', ' carbohydrates 291g', ' fiber 92g', ' cholesterol 109mg', ' iron 46mg', ' sodium 867mg', ' calcium 69mg']"
Easy Chicken Pot Pie,https://www.myrecipes.com/recipe/easy-chicken-pot-pie-1,"[""1   can (10 3/4 ounces) Campbell's® Condensed Cream of Chicken Soup (regular or 98% Fat Free)*"", '1   package (about 9 ounces) frozen mixed vegetables, thawed', '1  cup cubed cooked chicken or turkey', '½  cup milk', '1   egg', '1  cup all-purpose baking mix']",{'Yield': '4 servings'},"{'Step 1': ""Heat the oven to 400°F.Stir the soup, vegetables and chicken in a 9-inch pie plate.Stir the milk, egg and baking mix in a small bowl. Spread the batter over the chicken mixture. Bake for 30 minutes or until the topping is golden brown.*Or use Campbell's® Cream of Chicken with Herbs Soup.""}",
Chicken Marsala Tetrazzini,https://www.myrecipes.com/recipe/chicken-marsala-tetrazzini,"['1   (8-oz.) package vermicelli', '2  tablespoons butter', '1   (8-oz.) package sliced fresh mushrooms', '3  ounces finely chopped prosciutto', '3  cups chopped cooked chicken', '1  cup frozen baby English peas, thawed', '1   (10 3/4-oz.) can reduced-fat cream of mushroom soup', '1   (10-oz.) container refrigerated light Alfredo sauce', '½  cup chicken broth', '¼  cup Marsala', '1  cup (4-oz.) shredded Parmesan cheese']","{'total': '45 mins', 'Yield': 'Makes 6 to 8 servings'}",{'Step 3': 'Bake at 350° for 35 minutes or until bubbly.'},
Chicken Cacciatore,https://www.myrecipes.com/recipe/chicken-cacciatore-3,"['¼  cup all-purpose flour', '1\u2009¼  teaspoons kosher salt', '¾  teaspoon black pepper', '1   3 1/2- to 4-pound chicken, cut into pieces', '¼  cup olive oil', '1   medium yellow onion, roughly chopped', '1   carrot, diced', '1   celery stalk, diced', '4   cloves garlic, finely chopped', '3   sprigs fresh thyme', '1   bay leaf', '1   28-ounce can plum tomatoes', '⅓  cup dry red wine', '¼  cup fresh flat-leaf parsley,roughly chopped']","{'prep': '45 mins', 'additional': '1 hr 5 mins', 'total': '1 hr 50 mins', 'Yield': 'Makes 4 servings'}","{'Step 1': 'In a shallow bowl, combine the flour, 1 teaspoon of the salt, and 1/2 teaspoon of the pepper. Rinse the chicken and pat it dry with paper towels. Working in batches, lightly coat the chicken with the flour mixture, shaking off any excess.Heat the oil in a Dutch oven or large saucepan over medium heat. Add some of the chicken to the pan and cook until browned, 4 to 5 minutes per side. Transfer to a plate; set aside. Repeat with the remaining chicken.Add the onion to the pan and cook for 2 minutes. Add the carrot, celery, garlic, thyme, and bay leaf. Cook, stirring occasionally, for 10 minutes.Crush the tomatoes in the can with a large spoon and stir them into the vegetables along with the wine and the remaining salt and pepper. Bring to a simmer. Add the chicken, reduce heat, and cover. Simmer for 45 minutes, turning the pieces occasionally. Remove and discard the bay leaf. Stir in the parsley.'}","['701 calories', ' fat 195g', ' saturated fat 35g', ' cholesterol 247mg', ' sodium 332mg', ' fiber 33g', ' sugars 73g', ' protein 102g']"
Easy Rotisserie Chicken Recipes,https://www.myrecipes.com/ingredients/chicken-recipes/easy-recipes-rotisserie-chicken,,,,
Cajun Oven-Fried Chicken,https://www.myrecipes.com/recipe/cajun-oven-fried-chicken,"['⅓  cup low-fat buttermilk', '1  tablespoon salt-free Cajun seasoning (such as Spice Hunter)', '½  teaspoon salt', '1  cup panko (Japanese breadcrumbs)', '2   chicken breast halves (about 1 pound), skinned', '2   chicken drumsticks (about1/2 pound), skinned', '2   chicken thighs (about 1/2 pound), skinned', 'Cooking spray']",{'Yield': '4 servings (serving size: 1 breast half or 1 thigh and 1 drumstick)'},"{'Step 3': 'Place chicken on a baking sheet lined with parchment paper. Lightly coat chicken with cooking spray. Bake at 400° for 40 minutes or until done, turning after 20 minutes.'}","['206 calories', ' calories from fat 16%', ' fat 37g', ' saturated fat 1g', ' mono fat 1g', ' poly fat 08g', ' protein 317g', ' carbohydrates 9g', ' fiber 03g', ' cholesterol 95mg', ' iron 12mg', ' sodium 439mg', ' calcium 39mg']"
