,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Mango-glazed Salmon,https://www.myrecipes.com/recipe/mango-glazed-salmon,"['2  tablespoons soy sauce', '1  tablespoon minced fresh ginger', '1   (3-inch) cinnamon stick', '1   star anise', '1  teaspoon rice vinegar', '1   (10-ounce) bottle mango nectar', '6   (6-ounce) salmon fillets, about 1 inch thick']",{'Yield': '6 servings'},{'Step 2': 'Place salmon on a rack in a broiler pan coated with cooking spray. Broil 5 1/2 inches from heat 5 minutes. Brush fish with 1/3 cup mango mixture. Broil 3 more minutes or until fish flakes with a fork. Spoon remaining mango mixture evenly over fish.'},
Sesame-Crusted Salmon,https://www.myrecipes.com/recipe/sesame-crusted-salmon-0,"['¼  cup sesame seeds', '1  tablespoon grated orange rind', '½  teaspoon salt', '1  teaspoon dark sesame oil', '4   (6-ounce) salmon fillets (about 1 inch thick)', 'Cooking spray', '1\u2009¼  cups water', '¾  cup uncooked couscous', '¼  cup sliced green onions', '2  tablespoons orange juice', '¼  teaspoon salt']",{'Yield': '4 servings (serving size: 1 fillet and 1/2 cup couscous)'},"{'Step 3': 'While the fish is cooking, bring water to a boil in a medium saucepan; gradually stir in couscous. Remove from heat, cover and let stand for 5 minutes. Fluff with a fork. Stir in onions, juice, and salt. Serve with fish.'}","['401 calories', ' calories from fat 35%', ' fat 154g', ' saturated fat 31g', ' mono fat 64g', ' poly fat 48g', ' protein 333g', ' carbohydrates 301g', ' fiber 28g', ' cholesterol 65mg', ' iron 2mg', ' sodium 503mg', ' calcium 106mg']"
Grilled Asian Salmon,https://www.myrecipes.com/recipe/grilled-asian-salmon,"['3  tablespoons lower-sodium soy sauce', '1  tablespoon light brown sugar', '2  teaspoons fresh lime juice', '1  teaspoon grated peeled fresh ginger', '½  teaspoon dark sesame oil', '½  teaspoon Sriracha (hot chile sauce)', '1   (1 1/2-pound) salmon fillet, cut lengthwise and crosswise into 4 pieces', 'Cooking spray']","{'hands-on': '15 mins', 'total': '1 hr 15 mins', 'Yield': 'Serves 4 (serving size: 1 fillet and 2 teaspoons sauce)'}","{'Step 3': 'Tip: Buying good fish is really important to the final taste of the recipe. Fish should never smell ""fishy."" It should smell like the sea or the stream. Also, the flesh should be brightly colored. Don\'t be afraid to smell it or ask the fishmonger when it arrived. If he can\'t tell you, then it\'s time to find a different place to buy it!'}","['226 calories', ' fat 66g', ' saturated fat 1g', ' mono fat 18g', ' poly fat 26g', ' protein 347g', ' carbohydrates 46g', ' cholesterol 88mg', ' iron 14mg', ' sodium 420mg', ' calcium 27mg']"
Salmon with Mustard Cream,https://www.myrecipes.com/recipe/salmon-with-mustard-cream,"['4   (6-ounce) skinless salmon fillets', 'Cooking spray', '⅛  teaspoon coarsely ground black pepper', '½  cup reduced-fat sour cream', '1\u2009½  tablespoons Dijon mustard', '2  teaspoons chopped fresh dill', '¼  teaspoon coarsely ground black pepper', '1\u2009½  teaspoons lemon juice', '1   garlic clove, minced', '¼  teaspoon salt']","{'prep': '1 min', 'cook': '8 mins', 'total': '9 mins', 'Yield': '4 servings (serving size: 1 fillet and about 2 tablespoons sauce)'}",{'Step 4': 'Place fillets on plates. Spoon sauce over fish.'},"['254 calories', ' calories from fat 36%', ' fat 101g', ' saturated fat 33g', ' mono fat 18g', ' poly fat 25g', ' protein 358g', ' carbohydrates 32g', ' fiber 02g', ' cholesterol 104mg', ' iron 16mg', ' sodium 421mg', ' calcium 82mg']"
Lime-Marinated Broiled Salmon,https://www.myrecipes.com/recipe/lime-marinated-broiled-salmon,"['⅓  cup low-sodium soy sauce', '¼  cup fresh lime juice', '1  teaspoon minced peeled fresh ginger', '½  teaspoon chopped fresh thyme', '2   garlic cloves, chopped', '4   (6-ounce) skinless salmon fillets (about 1 inch thick)', 'Cooking spray', '4   lime wedges']",{'Yield': '4 servings (serving size: 1 fillet and 1 lime wedge)'},"{'Step 3': 'Remove salmon from bag, discarding marinade. Place salmon on a broiler pan coated with cooking spray; broil 8 minutes. Turn, and broil an additional 4 minutes or until fish flakes easily when tested with a fork. Serve with lime wedges.'}","['281 calories', ' calories from fat 42%', ' fat 131g', ' saturated fat 31g', ' mono fat 57g', ' poly fat 32g', ' protein 368g', ' carbohydrates 79g', ' fiber 01g', ' cholesterol 87mg', ' iron 08mg', ' sodium 414mg', ' calcium 25mg']"
Grilled Salmon with Tangy Cucumber Sauce,https://www.myrecipes.com/recipe/grilled-salmon-with-tangy-cucumber-sauce,"['1  cup cubed seeded peeled cucumber', '1\u2009½  cups fat-free sour cream', '2  tablespoons chopped green onions', '2  tablespoons chopped fresh dill', '1\u2009½  teaspoons fresh lemon juice', '1  teaspoon prepared horseradish', '¾  teaspoon kosher salt, divided', '1   (3-pound) salmon fillet (about 3/4 inch thick)', '¼  teaspoon freshly ground black pepper', 'Cooking spray', 'Dill sprigs (optional)']",{'Yield': '6 servings (serving size: 6 ounces salmon and 1/3 cup sauce)'},"{'Step 3': 'Sprinkle fish with remaining 1/2 teaspoon salt and pepper. Place fish, skin side up, on grill rack coated with cooking spray; grill 3 minutes. Rotate fish one quarter-turn (45 degrees) for diamond-shaped crosshatches. Grill 3 minutes. Turn fish over; grill 4 minutes or until desired degree of doneness. Serve with sauce and dill sprigs, if desired.'}","['340 calories', ' calories from fat 33%', ' fat 124g', ' saturated fat 19g', ' mono fat 41g', ' poly fat 49g', ' protein 427g', ' carbohydrates 109g', ' fiber 03g', ' cholesterol 117mg', ' iron 17mg', ' sodium 374mg', ' calcium 149mg']"
Smoked Salmon with Tangy Horseradish Sauce,https://www.myrecipes.com/recipe/smoked-salmon-with-tangy-horseradish-sauce,"['⅓  cup organic canola mayonnaise (such as Spectrum)', '1  tablespoon chopped fresh flat-leaf parsley', '1  tablespoon prepared horseradish', '1  tablespoon whole-grain Dijon mustard', '¼  teaspoon freshly ground black pepper', '12   slices Brown Soda Bread', '12   thin slices smoked salmon (about 8 ounces)', 'Fresh dill sprigs (optional)']",{'Yield': '6 servings'},"{'Step 2': 'Place 2 slices Brown Soda Bread on each of 6 plates; top each slice with 1 salmon slice and about 1 teaspoon sauce. Garnish with dill, if desired.'}","['460 calories', ' fat 15g', ' saturated fat 18g', ' mono fat 46g', ' poly fat 75g', ' protein 211g', ' carbohydrates 625g', ' fiber 8g', ' cholesterol 48mg', ' iron 38mg', ' sodium 938mg', ' calcium 178mg']"
Seared Salmon with Wilted Spinach,https://www.myrecipes.com/recipe/seared-salmon-wilted-spinach,"['4   (6-ounce) salmon fillets', '¾  teaspoon kosher salt, divided', '¼  teaspoon black pepper, divided', '1  tablespoon canola oil, divided', '1   pint grape tomatoes, halved', '3   garlic cloves, sliced', '1   (9-ounce) package baby spinach', '2  tablespoons small fresh basil leaves']","{'hands-on': '17 mins', 'total': '17 mins', 'Yield': 'Serves 4'}","{'Step 3': 'Heat a nonstick skillet over medium-high heat. Add 1 teaspoon oil; swirl. Add tomatoes; sauté 1 minute. Add garlic; sauté for 30 seconds, stirring constantly. Add spinach; remove from heat. Toss until spinach wilts. Stir in 1/4 teaspoon salt and 1/8 teaspoon pepper. Place about 1/2 cup spinach mixture on each of 4 plates; top each serving with 1 fillet and basil.'}","['346 calories', ' fat 165g', ' saturated fat 36g', ' mono fat 81g', ' poly fat 35g', ' protein 384g', ' carbohydrates 106g', ' fiber 41g', ' cholesterol 87mg', ' iron 27mg', ' sodium 545mg', ' calcium 84mg']"
Roasted Salmon with Pea Puree,https://www.myrecipes.com/recipe/roasted-salmon-pea-puree,"['2  tablespoons unsalted butter', '4   4-oz. skinless salmon fillets', 'Salt and pepper', '1   leek, white and light green parts, chopped', '1   10-oz. bag frozen peas', '½  cup white wine', '¼  cup half-and-half', '1  tablespoon chopped fresh mint leaves']","{'prep': '7 mins', 'cook': '20 mins', 'total': '27 mins', 'Yield': 'Serves 4'}",{'Step 3': 'Transfer leek mixture to a blender with half-and-half and mint. Puree until smooth. Season with salt and pepper. Serve salmon over puree.'},"['348 calories', ' fat 17g', ' saturated fat 7g', ' protein 29g', ' carbohydrates 14g', ' fiber 4g', ' cholesterol 79mg', ' sodium 433mg']"
Salmon with Sweet-and-Sour Pan Sauce,https://www.myrecipes.com/recipe/salmon-with-sweet-and-sour-pan-sauce,"['1  tablespoon vegetable oil', '¼  cup fat-free, less-sodium chicken broth', '2  tablespoons brown sugar', '2  tablespoons fresh lime juice', '1  tablespoon low-sodium soy sauce', '1  tablespoon fish sauce', '2   garlic cloves, minced', '4   (6-ounce) salmon fillets (about 1 inch thick)', '¼  teaspoon salt', '¼  teaspoon freshly ground black pepper']",{'Yield': '4 servings (serving size: 1 fillet and 1 1/2 tablespoons sauce)'},"{'Step 5': 'Drain fat from pan, and discard fat. Add broth mixture to pan, scraping to loosen browned bits. Bring to a boil; cook 30 seconds. Remove from heat. Serve sauce over fish.'}","['309 calories', ' calories from fat 41%', ' fat 142g', ' saturated fat 33g', ' mono fat 59g', ' poly fat 38g', ' protein 37g', ' carbohydrates 63g', ' fiber 01g', ' cholesterol 87mg', ' iron 09mg', ' sodium 736mg', ' calcium 31mg']"
