,recipe_link,ingredients,metadata,recipe_directions,recipe_nutrition
Lo Mein with Tofu,https://www.myrecipes.com/recipe/lo-mein-with-tofu,"['1   (14-ounce) package firm water-packed tofu, drained and cut crosswise into 4 (1-inch-thick) pieces', '8  ounces whole-wheat linguine', '1  teaspoon dark sesame oil', '½  teaspoon salt, divided', '¼  teaspoon freshly ground black pepper, divided', '2  tablespoons canola oil, divided', '3  tablespoons oyster sauce', '1\u2009½  tablespoons mirin (sweet rice wine)', '1\u2009½  tablespoons less-sodium soy sauce', '1  teaspoon rice vinegar', '¾  cup vertically sliced onion', '2  cups shredded cabbage', '2  cups peeled, thinly diagonally sliced carrot', '2   large garlic cloves, thinly sliced', '1\u2009½  cups fresh bean sprouts', '¼  cup chopped green onions']",{'Yield': '4 servings (serving size: 1 3/4 cups)'},"{'Step 4': 'Heat a wok or cast-iron skillet over medium-high heat. Add remaining 1 tablespoon canola oil to pan; swirl to coat. Add onion; stir-fry 2 minutes or until lightly browned. Add cabbage, carrot, and garlic; stir-fry 2 minutes or until cabbage wilts. Reduce heat to medium; stir in tofu and vinegar mixture, tossing to coat. Add pasta and bean sprouts; toss. Cook 2 minutes or until thoroughly heated. Sprinkle with green onions.'}","['397 calories', ' fat 154g', ' saturated fat 13g', ' mono fat 88g', ' poly fat 41g', ' protein 182g', ' carbohydrates 551g', ' fiber 9g', ' iron 4mg', ' sodium 736mg', ' calcium 248mg']"
Tofu-Mushroom Burgers,https://www.myrecipes.com/recipe/tofu-mushroom-burgers,"['1   (12.3-ounce) package firm tofu, cut in half lengthwise', '1  teaspoon olive oil', '1\u2009½  cups diced onion', '2  teaspoons dried marjoram', '½  teaspoon dried thyme', '2\u2009½  cups finely chopped mushrooms', '2  teaspoons Worcestershire sauce', '1  tablespoon low-sodium soy sauce', '2   large garlic cloves, minced', '1\u2009½  cups fresh breadcrumbs (about 3 slices bread)', '¼  cup dry-roasted cashews, finely ground', '1\u2009½  teaspoons Dijon mustard', '¼  teaspoon freshly ground black pepper', '1   large egg, lightly beaten', 'Cooking spray', '6   (3-ounce) Kaiser rolls']",{'Yield': '6 servings'},"{'Step 2': 'Heat oil in a large nonstick skillet over medium-high heat. Add onion, marjoram, and thyme; sauté 5 minutes. Add mushrooms; sauté 8 minutes. Add Worcestershire sauce, soy sauce, and garlic; sauté 1 minute. Remove from heat; spoon into a bowl. Stir in tofu, breadcrumbs, nuts, Dijon, pepper, and egg. Divide into 6 equal portions; shape each into a 3/4-inch-thick patty. Place pan coated with cooking spray over medium-high heat until hot. Add patties; cook 3 minutes. Carefully turn patties over; cook 3 minutes or until browned. Serve on rolls.'}","['401 calories', ' calories from fat 27%', ' fat 122g', ' saturated fat 24g', ' mono fat 4g', ' poly fat 45g', ' protein 162g', ' carbohydrates 61g', ' fiber 49g', ' cholesterol 37mg', ' iron 75mg', ' sodium 725mg', ' calcium 218mg']"
Szechuan-Style Tofu with Peanuts,https://www.myrecipes.com/recipe/szechuan-style-tofu-with-peanuts,"['2   (3 1/2-ounce) bags boil-in-bag jasmine rice', '1   (14-ounce) package water-packed firm tofu, drained and cut into 1-inch pieces', 'Cooking spray', '½  cup fat-free, less-sodium chicken broth', '1  tablespoon sambal oelek (ground fresh chile paste)', '1  tablespoon less-sodium soy sauce', '1  teaspoon cornstarch', '2  teaspoons black bean garlic sauce', '1  tablespoon canola oil', '¼  teaspoon salt', '1   (8-ounce) package presliced mushrooms', '½  cup matchstick-cut carrots', '1  tablespoon bottled ground fresh ginger (such as Spice World)', '½  cup chopped green onions', '¼  cup unsalted dry-roasted peanuts, chopped']","{'Yield': '4 servings (serving size: 3/4 cup rice, about 3/4 cup tofu mixture, and 1 tablespoon peanuts)'}","{'Step 5': 'Heat oil in a large nonstick skillet over medium-high heat. Add salt and mushrooms; sauté 4 minutes or until mushrooms begin to release liquid, stirring occasionally. Stir in carrots and ginger; cook 1 minute. Add broth mixture; cook 30 seconds or until sauce begins to thicken. Remove from heat; stir in tofu and onions. Serve over rice; sprinkle with peanuts.'}","['389 calories', ' fat 143g', ' saturated fat 21g', ' mono fat 55g', ' poly fat 62g', ' protein 172g', ' carbohydrates 516g', ' fiber 24g', ' iron 4mg', ' sodium 619mg', ' calcium 92mg']"
Tofu Bites,https://www.myrecipes.com/recipe/tofu-bites,"['1  pound extrafirm reduced-fat water-packed tofu, drained and cut into 1/2-inch cubes', '1\u2009½  teaspoons vegetable oil', '1  teaspoon dark sesame oil', '2  tablespoons low-sodium soy sauce', '1  tablespoon rice vinegar']",{'Yield': '6 servings (serving size: 1/3 cup)'},"{'Step 2': 'Heat oils in a large nonstick skillet over medium-high heat. Add tofu; sauté 7 minutes or until browned. Place in a bowl. Drizzle with soy sauce and vinegar; toss gently to coat. Cover and chill at least 1 hour, stirring occasionally.'}","['51 calories', ' calories from fat 49%', ' fat 28g', ' saturated fat 03g', ' mono fat 11g', ' poly fat 12g', ' protein 48g', ' carbohydrates 14g', ' iron 08mg', ' sodium 241mg', ' calcium 37mg']"
Thai Fried Rice with Tofu,https://www.myrecipes.com/recipe/thai-fried-rice-with-tofu,"['2  teaspoons roasted peanut oil', '2  teaspoons bottled minced ginger', '1  teaspoon bottled minced garlic', '½  teaspoon crushed red pepper', '1   (9.2-ounce) package original grilled tofu (such as Marjon), cut into 1/2-inch pieces', '¼  cup flaked sweetened coconut, toasted', '1  tablespoon light brown sugar', '1   large egg, lightly beaten', '3  cups coarsely chopped bok choy (about 1 large head)', '1\u2009½  cups frozen cut green beans, thawed', '¼  cup chopped dry-roasted cashews, salted', '2  cups chilled cooked jasmine or basmati rice', '2  tablespoons soy sauce', '4   lime wedges']","{'prep': '13 mins', 'cook': '13 mins', 'total': '26 mins', 'Yield': '4 servings (serving size: 1 1/2 cups)'}","{'Step 3': 'Note: The rice for this recipe was prepared ahead and chilled overnight. It was cooked in the microwave according to package directions, omitting salt and fat. Use 2/3 cup uncooked rice and 1 1/3 cups water to get a 2-cup yield of cooked rice. If you have any kind of leftover cooked rice from another meal, you may substitute it for the jasmine rice, if desired.'}","['261 calories', ' calories from fat 43%', ' fat 123g', ' saturated fat 29g', ' protein 137g', ' carbohydrates 269g', ' fiber 32g', ' cholesterol 53mg', ' iron 35mg', ' sodium 701mg', ' calcium 149mg']"
Tofu Banh Mi,https://www.myrecipes.com/recipe/tofu-banh-mi,"['1   (14-ounce) package water-packed firm tofu, drained', '2  tablespoons low-sodium soy sauce', '2  teaspoons finely grated peeled fresh ginger', '⅓  cup rice vinegar', '¼  cup sugar', '1  teaspoon kosher salt', '1\u2009¼  cups (3-inch) matchstick-cut carrot', '1  cup sliced shiitake mushroom caps', '¼  teaspoon freshly ground black pepper', '1   julienne-cut green onion', '1   cucumber, peeled, halved lengthwise, and thinly sliced (about 2 cups)', '2  tablespoons canola oil', '1   (12-ounce) loaf French bread', '½  cup fresh cilantro sprigs', '2   jalapeño peppers, thinly sliced']",{'Yield': '6 servings (serving size: 1 sandwich)'},"{'Step 7': ""Wine note: The herbaceous quality of Monkey Bay Sauvignon Blanc 2007 ($11) echoes the jalapeño peppers and green onions in our Tofu Banh Mi, while the wine's lemony acidity helps it stand up to the rice vinegar–pickled vegetables. —Jeffery Lindenmuth""}","['369 calories', ' fat 141g', ' saturated fat 18g', ' mono fat 52g', ' poly fat 61g', ' protein 119g', ' carbohydrates 496g', ' fiber 5g', ' iron 26mg', ' sodium 367mg', ' calcium 147mg']"
Pre-Pressed Tofu Has Changed The Tofu Game,https://www.myrecipes.com/special-diet/vegetarian-recipes/what-is-pre-pressed-tofu,,,,
Broccoli-Tofu Stir-Fry,https://www.myrecipes.com/recipe/broccoli-tofu-stir-fry,"['1   (3 1/2-ounce) bag boil-in-bag brown rice', '2  tablespoons low-sodium soy sauce', '2  tablespoons oyster sauce', '2\u2009½  teaspoons cornstarch', '2  teaspoons rice vinegar', '2  teaspoons dark sesame oil', '2  teaspoons vegetable oil', '1  pound firm tofu, drained and cut into 1/2-inch cubes', '¼  teaspoon salt', '2  cups broccoli florets', '¾  cup water', '1\u2009½  tablespoons bottled minced garlic']",{'Yield': '4 servings (serving size: 1 cup stir-fry and 1/2 cup rice)'},"{'Step 3': 'Heat vegetable oil in a large nonstick skillet over medium-high heat. Add the tofu, and sprinkle with salt. Cook 8 minutes or until golden brown, tossing frequently. Remove tofu from pan, and keep warm. Add broccoli, water, and garlic to pan. Cover and cook 4 minutes or until crisp-tender, stirring occasionally. Uncover; add soy sauce mixture and tofu, stirring gently to coat. Cook 2 minutes or until sauce thickens, stirring occasionally. Serve the broccoli mixture over rice.'}","['451 calories', ' calories from fat 17%', ' fat 83g', ' saturated fat 14g', ' mono fat 26g', ' poly fat 38g', ' protein 162g', ' carbohydrates 78g', ' fiber 44g', ' iron 28mg', ' sodium 581mg', ' calcium 87mg']"
Wasabi Pea Tofu with Red Cabbage and Leeks,https://www.myrecipes.com/recipe/wasabi-pea-tofu-red-cabbage-leeks,"['2   (14-ounce) packages water-packed extra-firm tofu, drained', '¼  cup canola oil, divided', '12  ounces thinly sliced red cabbage', '4   leeks, white and light green parts thinly sliced', '1  teaspoon kosher salt, divided', '¾  teaspoon freshly ground black pepper, divided', '1  cup wasabi peas, divided', '1   large egg, lightly beaten']","{'hands-on': '35 mins', 'total': '35 mins', 'Yield': 'Serves 4 (serving size: about 1 1/4 cups cabbage mixture, 2 tofu slices, and about 1 tablespoon crushed peas)'}",{'Step 5': 'Place remaining 1/4 cup peas in a zip-top plastic bag; lightly crush with a rolling pin or a small heavy pan. Serve tofu with cabbage mixture; sprinkle with crushed peas.'},"['450 calories', ' fat 269g', ' saturated fat 47g', ' mono fat 127g', ' poly fat 89g', ' protein 24g', ' carbohydrates 29g', ' fiber 4g', ' cholesterol 47mg', ' iron 6mg', ' sodium 607mg', ' calcium 244mg']"
Lemongrass Tofu Banh Mi,https://www.myrecipes.com/recipe/lemongrass-tofu-banh-mi,"['1   (14-ounce) package water-packed extra-firm tofu, drained', '2  tablespoons finely chopped peeled fresh lemongrass', '2  tablespoons water', '1  tablespoon lower-sodium soy sauce', '2  teaspoons sesame oil, divided', '¼  cup rice vinegar', '¼  cup water', '1  tablespoon sugar', '¼  teaspoon salt', '1\u2009¼  cups matchstick-cut carrot', '1\u2009¼  cups matchstick-cut peeled daikon radish', '1\u2009½  tablespoons chopped fresh cilantro', '3  tablespoons canola mayonnaise', '1\u2009½  teaspoons Sriracha (hot chile sauce, such as Huy Fong)', '1   (12-ounce) French bread baguette, halved lengthwise and toasted', 'Cooking spray', '1  cup thinly sliced English cucumber']","{'hands-on': '26 mins', 'total': '50 mins', 'Yield': '6 servings (serving size: 1 sandwich)'}","{'Step 5': 'Heat a large nonstick skillet over medium-high heat. Coat pan with cooking spray. Remove tofu from marinade, and discard marinade. Pat tofu slices dry with paper towels. Add tofu slices to pan, and cook for 4 minutes on each side or until crisp and golden. Arrange tofu slices on bottom half of bread; top tofu slices with carrot mixture and cucumber slices. Cut loaf crosswise into 6 equal pieces.'}","['297 calories', ' fat 12g', ' saturated fat 11g', ' mono fat 43g', ' poly fat 4g', ' protein 12g', ' carbohydrates 349g', ' fiber 31g', ' cholesterol 3mg', ' iron 28mg', ' sodium 499mg', ' calcium 91mg']"
